No.,주문번호,상품명,상품번호,옵션명,"구	매	자",결제일자,주문상태,상품가격,건수,판매가격,결제수수료
191,21587986580,이너단추 티셔츠,277625766,color: 그레이,"박	*	아",2015-02-15 20:06,구매확정,31000,1,31000,1159
192,21587986580,폴인 가디건,274292797,color: 베이지,"원	*	선",2015-02-15 20:06,구매확정,91000,1,91000,3403
193,21587986580,라운드 가디건,278037333,color: 옐로우,"김	*	을",2015-02-15 20:06,구매확정,29000,1,29000,1084
194,21587999020,로리 원피스,276469460,color: 소라,"이	*	민",2015-02-15 20:22,구매확정,58000,1,58000,2169
195,21588000760,롱 퍼프 가디건,277157817,color: 베이지,"이	*	민",2015-02-15 20:24,취소,73000,1,73000,2730
196,21588123450,브래드 티셔츠,274744190,color: 화이트,"이	*	민",2015-02-15 22:36,구매확정,33000,1,33000,1234
197,21588137850,로리 원피스,276469460,color: 소라,"김	*	은",2015-02-15 22:53,반품,58000,1,58000,275
198,21588173840,로리 원피스,276469460,color: 소라,"안	*	영",2015-02-15 23:23,구매확정,58000,1,58000,2169
199,21588204830,슬림 슬랙스,273125800,color: 블랙 / size: M,"박	*	경",2015-02-15 23:56,구매확정,35000,1,35000,1309
200,21688210490,슬림 슬랙스,273125800,color: 챠콜 / size: S,"황	*	아",2015-02-16 0:03,취소,35000,1,35000,1309
201,21688211740,슬림 슬랙스,273125800,color: 블랙 / size: M,"김	*	진",2015-02-16 0:04,구매확정,35000,1,35000,1347
202,21688262820,롱 퍼프 가디건,277157817,color: 베이지,"고	*	리",2015-02-16 1:29,취소,73000,1,73000,2730
203,21688322730,로리 원피스,276469460,color: 소라,"박	*	진",2015-02-16 7:46,구매확정,58000,1,58000,2168
204,21688323210,로리 원피스,276469460,color: 소라,"임	*	나",2015-02-16 7:48,취소,58000,1,58000,2169
205,21688336660,슬림 슬랙스,273125800,color: 블랙 / size: S,"허	*	혜",2015-02-16 8:40,구매확정,35000,1,35000,1309
206,21688399990,롱 퍼프 가디건,277157817,color: 베이지,"김	*	현",2015-02-16 10:27,구매확정,73000,1,73000,2730
207,21587741430,슬림 슬랙스,273125800,color: 블랙 / size: S,"송	*	아",2015-02-16 10:38,구매확정,35000,1,35000,275
208,21386083860,로리 원피스,276469460,color: 소라,"김	*	빈",2015-02-16 10:44,구매확정,58000,1,58000,275
209,21587771440,쟈가드 자켓,275180418,color: F,"하	*	주",2015-02-16 11:39,구매확정,81000,1,81000,275
210,21688508280,하프테니스 스커트,278363727,color: 아이보리 / size: S,"김	*	희",2015-02-16 12:26,구매확정,42000,1,42000,1617
211,21688550590,로리 원피스,276469460,color: 소라,"이	*	정",2015-02-16 13:10,구매확정,58000,1,58000,2169
212,21688560400,로리 원피스,276469460,color: 소라,"최	*	미",2015-02-16 13:22,구매확정,58000,1,58000,2169
213,21688251440,로리 원피스,276469460,color: 소라,"김	*	학",2015-02-16 14:14,취소,58000,1,58000,275
214,21688887670,슬림 슬랙스,273125800,color: 블랙 / size: S,"최	*	은",2015-02-16 20:22,구매확정,35000,1,35000,275
215,21588068290,슬림 슬랙스,273125800,color: 블랙 / size: M,"박	*	현",2015-02-16 20:54,구매확정,35000,1,35000,275
216,21688920490,파스텔 코트,274029967,color: 소라,"서	*	정",2015-02-16 21:10,취소,79000,1,79000,3041
217,21688920490,시보리 니트,278629433,color: 아이보리,"서	*	정",2015-02-16 21:10,구매확정,55000,1,55000,2117
218,21688947180,롱 퍼프 가디건,277157817,color: 베이지,"서	*	정",2015-02-16 21:47,구매확정,73000,1,73000,2810
219,21688950820,집업니트,273849964,color: 카키,"서	*	정",2015-02-16 21:53,구매확정,73000,1,73000,2730
